OH350.749+02.898,257.49795833,-35.01611389,17 09 59.510,-35 00 58.01,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH351.486+03.263,257.67027917,-34.20720556,17 10 40.867,-34 12 25.94,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH350.494+02.394,257.81141250,-35.52017500,17 11 14.739,-35 31 12.63,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH350.797+02.252,258.17061250,-35.35916389,17 12 40.947,-35 21 32.99,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH349.949+01.537,258.27080833,-36.46509444,17 13 04.994,-36 27 54.34,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH350.836+02.106,258.34390833,-35.41330833,17 13 22.538,-35 24 47.91,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH351.526+02.502,258.44421250,-34.62182500,17 13 46.611,-34 37 18.57,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH351.462+02.358,258.54091667,-34.75778611,17 14 09.820,-34 45 28.03,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH352.625+03.014,258.71526667,-33.43180556,17 14 51.664,-33 25 54.50,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH349.675+00.320,259.30847083,-37.39659444,17 17 14.033,-37 23 47.74,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH353.844+02.984,259.58287083,-32.45610000,17 18 19.889,-32 27 21.96,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH349.841-00.033,259.79235833,-37.46446111,17 19 10.166,-37 27 52.06,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH349.963-00.025,259.87186250,-37.35981111,17 19 29.247,-37 21 35.32,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
OH353.973+02.727,259.91990000,-32.49769167,17 19 40.776,-32 29 51.69,Database of circumstellar OH masers (Engels+ 2015),J/A+A/582/A68
